qe_emoj,pe_emoj
0,0.7514576823282852
1,0.8896913932982204
2,0.943545411914182
3,0.9716471761772764
4,0.9844011463541613
5,0.9900522963751582
6,0.9938428904250722
7,0.9956740550252662
8,0.9969545069619499
9,0.9976272349115521
10,0.9981443331431681
11,0.9985495344294898
12,0.9990091961971648
13,0.9991456095704425
14,0.9992769070879388
15,0.9993751003419843
16,0.9994740021633126
17,0.9995302482342184
18,0.9995953513961588
19,0.9996322252375539
20,0.9996706862696624
21,0.9997006161516864
22,0.9997346273812591
23,0.9997539854394242
24,0.9997803157996517
25,0.9997959042798725
26,0.9998091261453689
27,0.9998221637833717
28,0.9998331465762547
29,0.9998456598744683
30,0.9998557357012291
31,0.9998625096044523
32,0.9998712674960674
33,0.9998808048116934
34,0.9998868984903251
35,0.9998911215513304
36,0.999897016831123
37,0.9999008856084869
38,0.9999045559870117
39,0.9999078720818949
40,0.9999121801709742
41,0.9999152411816357
42,0.999918188821532
43,0.9999207254924043
44,0.9999243816995834
45,0.9999271309406405
46,0.9999292708138344
47,0.9999304895495608
48,0.9999333805040744
49,0.9999354636918858
50,0.9999368099697231
51,0.9999385247025474
52,0.9999400268651868
53,0.9999412030868762
54,0.9999427052495157
55,0.9999445900384878
56,0.9999459646590164
57,0.9999471692233971
58,0.9999483312737408
59,0.9999491957258257
60,0.9999504144615522
61,0.9999511088574893
62,0.999952228393796
63,0.9999535179862507
64,0.9999549209494705
65,0.9999555870027164
66,0.999957202536121
67,0.9999579394460951
68,0.9999588180695257
69,0.9999594982941172
70,0.9999601926900543
71,0.999960660344461
72,0.9999616523386567
73,0.9999624884480505
74,0.9999630553018767
75,0.9999635654703203
76,0.9999639480966529
77,0.9999646283212444
78,0.9999650676329597
79,0.9999654786019837
80,0.9999662863686861
81,0.999966739851747
82,0.999967235848845
83,0.9999676184751777
84,0.9999682561857322
85,0.9999684687559169
86,0.9999688513822497
87,0.9999693757220389
88,0.9999700984606673
89,0.999970523601037
90,0.9999709062273697
91,0.9999710621121719
92,0.9999713313677393
93,0.9999716289659981
94,0.9999719407356025
95,0.9999722383338613
96,0.9999728335303788
97,0.9999730886146007
98,0.9999734145555507
99,0.9999738822099573
100,0.9999744207210922
101,0.9999746474626227
102,0.9999748458614619
103,0.9999749450608815
104,0.9999752143164489
105,0.9999757386562381
106,0.9999758378556577
107,0.9999760362544969
108,0.9999764330521752
109,0.9999765464229405
110,0.9999767589931253
111,0.9999769573919645
112,0.9999770991054211
113,0.9999772124761863
114,0.9999773258469515
115,0.999977510074445
116,0.9999777935013582
117,0.999977921043469
118,0.9999780910996169
119,0.9999781619563451
120,0.9999786154394061
121,0.999978828009591
122,0.9999788846949736
123,0.9999791256078497
124,0.999979153950541
125,0.999979196464578
126,0.9999793948634172
127,0.9999794090347629
128,0.9999795932622564
129,0.9999799475458978
130,0.9999801317733913
131,0.9999805002283784
132,0.9999808686833653
133,0.9999810670822046
134,0.9999811379389328
135,0.9999812513096981
136,0.9999814071945002
137,0.9999814780512285
138,0.9999815630793024
139,0.9999816906214134
